n,p,m
"{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}","{""label"":Display_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P107}","{""data"":Anatomical Concepts}"
"{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Anatomic_Structure_System_or_Substance}"
"{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Anatomic Structures and Systems}"
"{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Anatomic Structure or System}"
"{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Classification}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":The strength of the active ingredient(s) has not been assigned.}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1704755}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Potency Unassigned}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C48591}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":FDA}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":FDA_Table,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P317}","{""data"":Potency (C-DRG-00501)}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Potency_Unassigned}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":UNASSIGNED}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":U/A}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Quantitative Concept}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Potency Unassigned, UNASSIGNED],""name"":potency unassigned,""definition"":['The strength of the active ingredient(s) has not been assigned.'],""name_Dataset"":UNASSIGNED,""label"":Potency Unassigned,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48591,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":Concept_Status,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P310}","{""data"":Header_Concept}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":The basic quantity or increment used to describe the strength of a product or amount of product in a package.}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1710560}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":OID,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P320}","{""data"":2.16.840.1.113883.3.26.1.1.4}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Potency Unit}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C48470}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":FDA}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Unit_of_Potency}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Unit of Potency}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Quantitative Concept}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[POTENCY UNIT, Unit of Potency, Potency Unit],""name"":potency unit,""definition"":['The basic quantity or increment used to describe the strength of a product or amount of product in a package.'],""label"":Potency Unit,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48470,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":Concept_Status,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P310}","{""data"":Header_Concept}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1710551}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Unit by Category}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C42568}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Unit_by_Category}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Classification}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Unit by Category],""name"":unit by category,""definition"":[],""label"":Unit by Category,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42568,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C1519795}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Unit of Measure}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C25709}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":ICH}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":UCUM}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":NICHD}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Unit_of_Measure}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":UOM}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":U}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Unit of Measurement}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Unit}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Units}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Unit(s)}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Conceptual Entity}"
"{""synonym"":[Unit of Measurement, medication_units_of_measure, Units, unit(s), Unit, unit, medication units of measure, Unit(s), Unit of Measure, UOM, U],""name"":unit of measure,""definition"":['A named quantity in terms of which other quantities are measured or specified, used as a standard measurement of like kinds.'],""label"":Unit of Measure,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25709,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
