n,p,m
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Route of Administration}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C38114}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":FDA}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":NICHD}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Contributing_Source,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P322}","{""data"":CDISC}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Drug_Route_of_Administration}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Drug Route of Administration}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":ROUTE}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":FULL_SYN,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P90}","{""data"":Route of Drug Administration}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Functional Concept}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""label"":DesignNote,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P98}","{""data"":Route of administration is primarily determined by the properties of the substance and the therapeutic objectives. The pharmacokinetic parameters of the drug are critically influenced by the route of administration. The major distinction between routes of administration is based on whether the drug takes effect merely in the local area where it is applied, or whether it reaches targeted destination through the systemic circulation. In the latter case, the substance is subject to the possible first-pass metabolism in the lungs, liver, and other organs.}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[ROUTE_DETAIL, route of administration, route_of_administration, Route of Drug Administration, route of administration (ROA), Route of Administration, ROUTE, Drug Route of Administration, ROUTE OF ADMINISTRATION],""name"":route of administration,""definition"":['Designation of the part of the body through which or into which, or the way in which, the medicinal product is intended to be introduced. In some cases a medicinal product can be intended for more than one route and/or method of administration.'],""name_Dataset"":ROUTE OF ADMINISTRATION,""label"":Route of Administration,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38114,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":DEFINITION,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P97}","{""data"":A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":UMLS_CUI,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P207}","{""data"":C0449444}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":Preferred_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P108}","{""data"":Route}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":code,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#code}","{""data"":C25169}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":Legacy_Concept_Name,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P366}","{""data"":Route}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""label"":Semantic_Type,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#P106}","{""data"":Functional Concept}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Route],""name"":route,""definition"":['A way of getting from one place to another; an established line of travel or access; the way a chemical or pollutant enters an organism after contact, particularly, the way of drug administration.'],""label"":Route,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25169,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":data}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":identifiers}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":bioinformatics}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[],""name"":accession,""definition"":['A persistent (stable) and unique identifier, typically identifying an object (entry) from a database.'],""label"":Accession,""uri"":http://edamontology.org/data_2091,""ontology"":EDAM}"
"{""synonym"":[],""name"":atc code,""definition"":['Unique identifier of a drug conforming to the Anatomical Therapeutic Chemical (ATC) Classification System, a drug classification system controlled by the WHO Collaborating Centre for Drug Statistics Methodology (WHOCC).'],""name_Dataset"":ATC CODE,""label"":ATC code,""uri"":http://edamontology.org/data_3103,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":data}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":identifiers}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":bioinformatics}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":drug accession,""definition"":['Accession of a drug.'],""label"":Drug accession,""uri"":http://edamontology.org/data_2895,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":data}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":identifiers}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":bioinformatics}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":drug identifier,""definition"":['Identifier of a drug.'],""label"":Drug identifier,""uri"":http://edamontology.org/data_0993,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":has_exact_synonym,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#hasExactSynonym}","{""data"":Chemical compound identifier}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":has_exact_synonym,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#hasExactSynonym}","{""data"":Small molecule identifier}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":data}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":identifiers}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":bioinformatics}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Small molecule identifier, Chemical compound identifier, Compound ID],""name"":compound identifier,""definition"":['Identifier of an entry from a database of chemicals.'],""label"":Compound identifier,""uri"":http://edamontology.org/data_1086,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":data}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":identifiers}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":bioinformatics}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[],""name"":molecule identifier,""definition"":['Name or other identifier of a molecule.'],""label"":Molecule identifier,""uri"":http://edamontology.org/data_0982,""ontology"":EDAM}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Identifier (typed)],""name"":identifier (by type of entity),""definition"":['This concept exists only to assist EDAM maintenance and navigation in graphical browsers. It does not add semantic information. This branch provides an alternative organisation of the concepts nested under 'Accession' and 'Name'. All concepts under here are already included under 'Accession' or 'Name'.', 'An identifier that identifies a particular type of data.'],""label"":Identifier (by type of entity),""uri"":http://edamontology.org/data_0976,""ontology"":EDAM}"
"{""synonym"":[Identifier (typed)],""name"":identifier (by type of entity),""definition"":['This concept exists only to assist EDAM maintenance and navigation in graphical browsers. It does not add semantic information. This branch provides an alternative organisation of the concepts nested under 'Accession' and 'Name'. All concepts under here are already included under 'Accession' or 'Name'.', 'An identifier that identifies a particular type of data.'],""label"":Identifier (by type of entity),""uri"":http://edamontology.org/data_0976,""ontology"":EDAM}","{""label"":in_subset,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://www.geneontology.org/formats/oboInOwl#inSubset}","{""data"":edam}"
